C101
NO.   XCOORD.   YCOORD.  SERVICE_TIME
0	40	50	0
1	45	68	90
2	45	70	90
3	42	66	90
4	42	68	90
5	42	65	90
6	40	69	90
7	40	66	90
8	38	68	90
9	38	70	90
10	35	66	90
11	35	69	90
12	25	85	90
13	22	75	90
14	22	85	90
15	20	80	90
16	20	85	90
17	18	75	90
18	15	75	90
19	15	80	90
20	30	50	90
21	30	52	90
22	28	52	90
23	28	55	90
24	25	50	90
25	25	52	90
26	25	55	90
27	23	52	90
28	23	55	90
29	20	50	90
30	20	55	90
31	10	35	90
32	10	40	90
33	8	40	90
34	8	45	90
35	5	35	90
36	5	45	90
37	2	40	90
38	0	40	90
39	0	45	90
40	35	30	90
41	35	32	90
42	33	32	90
43	33	35	90
44	32	30	90
45	30	30	90
46	30	32	90
47	30	35	90
48	28	30	90
49	28	35	90
50	26	32	90
51	25	30	90
52	25	35	90
53	44	5	90
54	42	10	90
55	42	15	90
56	40	5	90
57	40	15	90
58	38	5	90
59	38	15	90
60	35	5	90
61	50	30	90
62	50	35	90
63	50	40	90
64	48	30	90
65	48	40	90
66	47	35	90
67	47	40	90
68	45	30	90
69	45	35	90
70	53	30	90
71	53	35	90
72	95	30	90
73	92	30	90
74	95	35	90
75	92	35	90
76	90	35	90
77	88	30	90
78	88	35	90
79	87	30	90
80	85	25	90
81	85	35	90
82	75	55	90
83	72	55	90
84	70	58	90
85	68	60	90
86	66	55	90
87	65	55	90
88	65	60	90
89	63	58	90
90	60	55	90
91	60	60	90
92	67	85	90
93	65	85	90
94	65	82	90
95	62	80	90
96	60	80	90
97	60	85	90
98	58	75	90
99	55	80	90
100	55	85	90
